borough,route_id,color
Bronx,1,#EE352E
Bronx,2,#EE352E
Bronx,4,#00933C
Bronx,5,#00933C
Bronx,6,#00933C
Bronx,B,#FF6319
Bronx,D,#FF6319
Staten Island,SI,#053159
Brooklyn,2,#EE352E
Brooklyn,3,#EE352E
Brooklyn,4,#00933C
Brooklyn,5,#00933C
Brooklyn,A,#2850AD
Brooklyn,B,#FF6319
Brooklyn,C,#2850AD
Brooklyn,D,#FF6319
Brooklyn,F,#FF6319
Brooklyn,FS,#808183
Brooklyn,G,#6CBE45
Brooklyn,J,#996633
Brooklyn,L,#A7A9AC
Brooklyn,M,#FF6319
Brooklyn,N,#FCCC0A
Brooklyn,R,#FCCC0A
Brooklyn,Q,#FCCC0A
Queens,7,#B933AD
Queens,A,#2850AD
Queens,E,#2850AD
Queens,F,#FF6319
Queens,G,#6CBE45
Queens,H,#808183
Queens,J,#996633
Queens,L,#A7A9AC
Queens,M,#FF6319
Queens,N,#FCCC0A
Queens,R,#FCCC0A
Queens,W,#FCCC0A
Manhattan,1,#EE352E
Manhattan,2,#EE352E
Manhattan,3,#EE352E
Manhattan,4,#00933C
Manhattan,5,#00933C
Manhattan,6,#00933C
Manhattan,7,#B933AD
Manhattan,A,#2850AD
Manhattan,B,#FF6319
Manhattan,C,#2850AD
Manhattan,D,#FF6319
Manhattan,E,#2850AD
Manhattan,F,#FF6319
Manhattan,GS,#6D6E71
Manhattan,J,#996633
Manhattan,L,#A7A9AC
Manhattan,M,#FF6319
Manhattan,N,#FCCC0A
Manhattan,R,#FCCC0A
Manhattan,Q,#FCCC0A
Manhattan,W,#FCCC0A
