nta,bus_stops
MN22,55
MN21,33
MN40,65
MN33,50
MN34,82
MN03,108
MN25,47
MN24,62
MN23,78
MN11,70
MN99,94
MN36,103
MN04,61
MN17,124
MN13,91
MN35,63
MN06,44
MN09,83
MN14,73
MN12,123
MN28,72
MN27,47
MN50,13
MN15,55
MN20,45
MN19,66
MN31,79
MN32,49
MN01,42
QN98,84
QN72,85
QN28,152
QN27,74
QN70,104
QN71,41
QN61,239
QN07,54
QN06,59
QN34,162
QN43,74
QN03,51
QN02,50
QN08,161
QN35,60
QN01,89
QN33,67
QN66,42
QN05,60
QN22,135
QN52,68
QN48,83
QN46,126
QN45,60
QN51,118
QN44,57
QN47,72
QN49,90
QN41,56
QN62,51
QN38,73
QN42,63
QN99,86
null,78
QN37,72
QN23,86
QN26,41
QN25,63
QN29,114
QN18,44
QN17,107
QN31,213
QN63,60
QN50,37
QN68,60
QN60,47
BK77,82
QN20,168
BK90,77
QN57,77
QN54,148
QN30,108
QN19,63
QN53,86
QN21,130
QN55,165
QN56,54
QN76,64
QN10,82
QN12,50
QN15,45
SI12,100
SI22,174
SI28,97
SI45,104
SI36,79
SI14,85
SI37,99
SI08,53
SI35,99
SI24,123
SI54,71
SI05,147
SI01,103
SI25,65
SI07,108
SI11,76
SI99,6
SI32,45
SI48,29
BK31,174
BK17,116
BK19,50
BK25,51
BK26,49
BK29,75
BK28,75
BK27,41
BK30,72
BK99,89
BK23,30
BK44,92
BK45,132
BK43,73
BK58,157
BK88,115
BK46,23
BK42,112
BK91,61
BK50,180
BK82,228
BK96,105
BK81,111
BK79,71
BK78,114
BK35,132
BK95,37
BK41,38
BK32,85
BK34,61
BK85,45
BK61,179
BK60,98
BK83,55
BK63,35
BK40,37
BK68,54
BK76,73
BK73,97
BK72,31
BK09,18
BK69,77
BK75,97
BK38,123
BK21,62
BK37,106
BK64,32
BK93,20
BK33,62
BX17,66
BX09,90
BX59,33
BX08,34
BX55,30
BX99,63
BX75,41
BX46,39
BX05,60
BX28,76
BX39,80
BX14,64
BX41,59
BX40,23
BX43,46
BX29,44
BX22,33
BX63,42
BX34,55
BX36,58
BX30,32
BX33,38
BX27,65
BX37,80
BX35,63
BX52,128
BX10,69
BX49,47
BX31,50
BX07,28
BX44,67
BX06,34
BX26,44
BX01,53
BX62,58
BX03,73
BX13,121
BX98,2
