nta_code,stop_id,color1,color2,color3,color4,distance(ft)
BK88,B15,#FF6319,,,,1899.997799037988
QN51,701,#B933AD,,,,6508.98028357477
QN27,706,#B933AD,,,,5160.907885547069
QN07,F01,#FF6319,,,,6330.010956286084
MN06,115,#EE352E,,,,1469.4714099262874
BK25,D37,#FF6319,#FCCC0A,,,2346.0531171056246
BX59,607,#00933C,,,,1061.025084655402
QN41,F01,#FF6319,,,,8105.838336064517
QN08,F01,#FF6319,,,,9689.823710297636
QN25,706,#B933AD,,,,2989.039260845192
QN06,F01,#FF6319,,,,3618.1151908394477
BK44,D37,#FF6319,#FCCC0A,,,2977.5840270147646
BK41,F27,#FF6319,,,,1585.263904088255
BK95,245,#EE352E,#00933C,,,827.2501856684283
BX33,219,#EE352E,#00933C,,,779.2945050840037
BK69,G34,#6CBE45,,,,716.5913852875074
QN61,G05,#2850AD,#996633,,,2135.702085982681
QN01,G05,#2850AD,#996633,,,3977.723889818992
BX10,601,#00933C,,,,6345.128266824171
QN33,F01,#FF6319,,,,14951.415567405662
BK43,D34,#FF6319,#FCCC0A,,,1400.5197468272218
BK26,B23,#FF6319,,,,667.6685030440441
BK29,N08,#FCCC0A,,,,1268.0852698120286
BK72,M16,#996633,#FF6319,,,1635.1761515215574
BK75,G32,#6CBE45,,,,1140.3484526110287
BK35,J31,#996633,,,,2068.760344308867
BK79,A50,#2850AD,,,,779.4410842865109
BK61,249,#EE352E,,,,2012.066693834381
BK63,241,#EE352E,#00933C,,,719.2692094523384
BK96,252,#EE352E,,,,3696.7294633600504
BX31,503,#00933C,,,,1863.6154761493362
BK93,L28,#A7A9AC,,,,4865.825877044277
BK91,245,#EE352E,#00933C,,,3089.3626564313245
BK78,M10,#FF6319,,,,813.0269698304035
BK77,M09,#FF6319,,,,876.6909805509176
QN20,M05,#FF6319,,,,855.913586813707
BK46,F33,#FF6319,,,,1335.2685282023517
BK68,G36,#6CBE45,,,,1346.2136545487522
QN68,B04,#FF6319,,,,1667.0851045647562
BX08,609,#00933C,,,,1614.376525400962
BX46,608,#00933C,,,,1823.3724629594083
BX55,609,#00933C,,,,1433.5057845439833
BK30,N03,#FCCC0A,,,,3759.292608228172
BK23,F39,#FF6319,,,,773.6058297011674
QN19,M01,#FF6319,,,,4790.574663297165
BX28,405,#00933C,,,,1907.7395505763955
QN38,F02,#FF6319,,,,6954.05566748847
SI99,S20,#053159,,,,4623.499586833936
MN15,A25,#2850AD,#2850AD,,,1881.675118050715
QN18,G10,#FF6319,#FCCC0A,,,1428.0735256676219
QN26,706,#B933AD,,,,993.2533112304347
QN34,F01,#FF6319,,,,11767.013232468287
QN43,F01,#FF6319,,,,17896.252251262908
QN21,M01,#FF6319,,,,3660.881291536379
QN29,G12,#FF6319,#FCCC0A,,,903.8075409970423
QN66,F01,#FF6319,,,,17256.498929659218
BX62,204,#EE352E,#00933C,,,619.2761205708111
BX07,210,#EE352E,#00933C,,,861.1447001089433
BK85,255,#EE352E,,,,712.8339298089493
QN55,A65,#2850AD,,,,3978.557074802429
BK27,B19,#FF6319,,,,2086.092101230823
BK28,B18,#FF6319,,,,1557.3492068381245
QN30,M01,#FF6319,,,,5789.847578999803
QN50,G14,#2850AD,#FF6319,#FF6319,#FCCC0A,3042.7810058180535
QN23,701,#B933AD,,,,8536.46068332039
QN37,F06,#2850AD,#FF6319,,,5539.037973729864
QN63,712,#B933AD,,,,1345.1144681621233
BX98,616,#00933C,,,,9433.010948247742
SI12,S24,#053159,,,,24840.025815804016
SI48,S17,#053159,,,,5281.229395561731
BX44,207,#EE352E,#00933C,,,1199.677782768078
SI28,S27,#053159,,,,18196.13704418301
BK73,L08,#A7A9AC,,,,996.525678466577
BK81,253,#EE352E,,,,641.6925230240931
BX52,606,#00933C,,,,8067.694030706943
QN54,J13,#996633,,,,1832.0413792841405
QN62,701,#B933AD,,,,6670.266144007659
MN27,D22,#FF6319,#FF6319,,,999.1708052939924
SI01,S16,#053159,,,,2149.5361105571424
MN25,419,#00933C,#00933C,,,477.44859968110023
QN17,G08,#2850AD,#FF6319,#FF6319,#FCCC0A,878.6105069424922
MN14,124,#EE352E,,,,859.2722832340761
MN17,D16,#FF6319,#FF6319,#FF6319,#FF6319,624.8075688591125
MN40,627,#00933C,,,,541.4740268643718
QN53,J16,#996633,,,,1793.1435309754763
SI54,S19,#053159,,,,269.092287038748
BK60,243,#EE352E,#00933C,,,1080.2065177766208
BX26,413,#00933C,,,,1558.7110131269192
BK21,D43,#FF6319,#FF6319,#FCCC0A,#FCCC0A,2799.6511300515485
BX22,101,#EE352E,,,,4409.257903378678
BX29,104,#EE352E,,,,2067.553309133345
BK40,F26,#FF6319,#6CBE45,,,1199.0450723903525
BK64,237,#EE352E,#EE352E,,,1300.4212959062384
BX27,614,#00933C,,,,3355.4957842984145
BK50,L29,#A7A9AC,,,,3191.853990163625
BK42,D31,#FF6319,#FCCC0A,,,1144.7528875603011
BK58,247,#EE352E,#00933C,,,5425.403998044982
QN44,F01,#FF6319,,,,23550.467102329556
QN45,F01,#FF6319,,,,22720.31439632534
QN35,F03,#FF6319,,,,2088.3836057419244
QN60,F05,#2850AD,#FF6319,,,2281.6930511821415
BX09,608,#00933C,,,,5673.955130143269
QN28,709,#B933AD,,,,3545.389691294069
BK37,R33,#FCCC0A,,,,1227.9933232066026
SI11,S13,#053159,,,,2465.6218411217783
SI32,S16,#053159,,,,5074.108506987324
MN03,224,#EE352E,#EE352E,,,1467.3865983688831
BK82,257,#EE352E,,,,2783.5279995411092
BK83,J21,#996633,,,,549.3928154896851
MN32,Q04,#FCCC0A,,,,879.4272950506067
QN48,701,#B933AD,,,,12069.053171941014
QN52,701,#B933AD,,,,6608.844904616506
BX34,220,#EE352E,#00933C,,,1537.5830862598839
BX39,618,#00933C,,,,674.5199685574615
MN28,M18,#996633,#FF6319,,,1816.9693064133185
BX01,D08,#FF6319,#FF6319,,,2949.434715289735
BX35,218,#EE352E,#00933C,,,2487.79058081465
BX75,215,#EE352E,#00933C,,,1304.391847936341
MN21,634,#00933C,,,,1312.9285711392463
MN01,A02,#2850AD,,,,624.8507875606359
MN22,636,#00933C,,,,1676.9317096109328
MN24,A34,#2850AD,#2850AD,#2850AD,,135.10415835804992
MN13,A30,#2850AD,#2850AD,,,669.1911511490173
MN23,A32,#2850AD,#2850AD,#2850AD,,388.920565604923
MN12,121,#EE352E,,,,899.3516799498351
BX43,D01,#FF6319,,,,850.5464751097616
BX05,D04,#FF6319,#FF6319,,,954.6873936226395
BX40,D06,#FF6319,#FF6319,,,821.5774593259637
BX41,D07,#FF6319,#FF6319,,,493.4234276847696
