nta_code,stop_id,train
BK88,B14,D
BK88,B15,D
BK88,F33,F
BK88,N03,N
MN06,115,1
MN06,A14,B C
BK25,F35,F
BX59,606,6
BX59,607,6
BK44,D35,B Q
BK44,D37,B Q
BK41,F27,F
BK41,F29,F
BK95,245,2 5
BX33,218,2 5
BX33,614,6
BX33,615,6
BK69,A44,C
BK69,A45,C
BK69,G34,G
BK69,G35,G
BK69,S01,S
QN61,F01,F
QN61,F02,F
QN61,F04,F
QN61,G05,E J Z
QN61,G06,E J Z
BX10,601,6
BX10,602,6
BX10,603,6
BK43,D32,B Q
BK43,D33,B Q
BK43,D34,B Q
BK26,B23,D
BK26,F36,F
BK26,F38,F
BK26,N10,N
BK29,B22,D
BK29,N07,N
BK29,N08,N
BK29,N09,N
BK72,M14,J M
BK72,M16,J M Z
BK75,A47,C
BK75,G31,G
BK75,G32,G
BK75,G33,G
BK35,M11,J M Z
BK79,A49,C
BK79,A50,C
BK79,A51,A C
BK79,J28,J Z
BK61,249,3
BK61,250,3 4
BK61,A46,A C
BK61,A48,A C
BK61,S03,S
BK63,239,2 3 4 5
BK63,241,2 5
BK63,248,3
BK63,S04,S
BX31,503,5
BX31,504,5
BK91,246,2 5
BK78,J27,J Z
BK78,J29,J
BK78,J30,J Z
BK78,J31,J
BK78,L13,L
BK78,L21,L
BK78,M10,M
BK78,M12,J M
BK77,L14,L
BK77,L15,L
BK77,L16,L
BK77,L17,L
BK77,L20,L
BK77,M08,M
BK77,M09,M
QN20,L19,L
QN20,M01,M
QN20,M04,M
QN20,M05,M
QN20,M06,M
BK46,F31,F
BK46,F32,F
BK46,F34,F
BK68,234,2 3 4 5
BK68,235,2 3
BK68,A43,C
BK68,D24,B Q
BK68,G36,G
BK68,R30,B Q R
QN68,B04,F
QN68,G21,E M R
QN68,R08,N W
BX08,611,6
BX55,608,6
BX55,609,6
BX55,610,6
BK23,D42,F Q
BK23,D43,D F N Q
BX28,405,4
BX28,406,4
MN15,A25,C E
QN18,G10,M R
QN26,705,7
QN26,706,7
QN29,707,7
QN29,710,7
QN29,G11,M R
QN29,G12,M R
QN29,G13,M R
QN29,G14,E F M R
BX62,201,2
BX62,204,2 5
BX07,209,2 5
BX07,210,2 5
BK85,255,3
BK85,L24,L
QN55,A63,A
QN55,A64,A
QN55,A65,A
QN55,H01,A
BK28,B16,D
BK28,B17,D
BK28,B18,D
BK28,B19,D
BK28,B20,D
BK28,B21,D
