step,nta,cat,s,e,is,ia,r,d
0,BK09,m,2855.2719947505943,0.0,0.0,0.0,0.0,0.0
0,BK09,c,3899.288204738111,0.0,0.0,0.0,0.0,0.0
0,BK09,i,7463.352355230258,0.0,0.0,0.0,0.0,0.0
0,BK09,h,8669.087445281037,0.0,0.0,0.0,0.0,0.0
0,BK17,m,1853.3382117898911,0.0,0.0,0.0,0.0,0.0
0,BK17,c,17187.63329826439,0.0,0.0,0.0,0.0,0.0
0,BK17,i,21039.042568040626,0.0,0.0,0.0,0.0,0.0
0,BK17,h,24437.985921905092,0.0,0.0,0.0,0.0,0.0
0,BK19,m,4020.5107643550396,0.0,0.0,0.0,0.0,0.0
0,BK19,c,6470.350921808504,0.0,0.0,0.0,0.0,0.0
0,BK19,i,11591.723955580459,0.0,0.0,0.0,0.0,0.0
0,BK19,h,13464.414358256,0.0,0.0,0.0,0.0,0.0
0,BK21,m,1779.8269863352657,0.0,0.0,0.0,0.0,0.0
0,BK21,c,7653.891577769094,0.0,0.0,0.0,0.0,0.0
0,BK21,i,10423.649147329716,0.0,0.0,0.0,0.0,0.0
0,BK21,h,12107.632288565925,0.0,0.0,0.0,0.0,0.0
0,BK23,m,2282.318020726266,0.0,0.0,0.0,0.0,0.0
0,BK23,c,2956.177349611678,0.0,0.0,0.0,0.0,0.0
0,BK23,i,5788.198728769043,0.0,0.0,0.0,0.0,0.0
0,BK23,h,6723.305900893014,0.0,0.0,0.0,0.0,0.0
0,BK25,m,3190.8307588009015,0.0,0.0,0.0,0.0,0.0
0,BK25,c,9887.995203559454,0.0,0.0,0.0,0.0,0.0
0,BK25,i,14451.257175443881,0.0,0.0,0.0,0.0,0.0
0,BK25,h,16785.916862195765,0.0,0.0,0.0,0.0,0.0
0,BK26,m,3897.12373499711,0.0,0.0,0.0,0.0,0.0
0,BK26,c,4790.219911271493,0.0,0.0,0.0,0.0,0.0
0,BK26,i,9598.953114368764,0.0,0.0,0.0,0.0,0.0
